geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon
36047010000,100,010000,3010000,3,Brooklyn,Sunset Park (Central),BK0703,E,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),1625060.54524,5203.43412156,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-apzb-dzg7-6vdd,40.64151925683095,-74.01018686764851
36047010200,102,010200,3010200,3,Brooklyn,Sunset Park (Central),BK0703,E,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),1640687.85339,5223.37842121,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-zi2e-f8v7~gjvc,40.63927392646399,-74.01252190313764
36005016900,169,016900,2016900,2,Bronx,Claremont Village-Claremont (East),BX0302,E,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),1000160.78499,5261.39181311,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-qk9y~gmkz.x23e,40.83772882344663,-73.90211426355859
36005017702,177.02,017702,2017702,2,Bronx,Mount Eden-Claremont (West),BX0403,E,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),1516246.21315,6910.08491841,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-xtj8-v74y_dtnx,40.83695695274749,-73.90770461839891
36005016700,167,016700,2016700,2,Bronx,Claremont Village-Claremont (East),BX0302,E,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),2218870.00408,6657.24311566,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-zfg9.pg6k~2hqc,40.840270503617894,-73.90326438095542
36005017100,171,017100,2017100,2,Bronx,Claremont Park,BX0492,I,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),1862238.94983,6257.339811,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-w4ee~7zas~vs9t,40.83952154032417,-73.90750839381826
36047013500,135,013500,3013500,3,Brooklyn,Park Slope,BK0602,I,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),1635300.96154,5224.7101745,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-5cm5_k3eb-y4tb,40.672962411097174,-73.98339355611593
36047015500,155,015500,3015500,3,Brooklyn,Park Slope,BK0602,I,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),1610814.38176,5181.35157454,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-7jpn~42gr_rmz6,40.67051791056517,-73.97830266576611
36085029102,291.02,029102,5029102,5,Staten Island,New Springville-Willowbrook-Bulls Head-Travis,SI0204,I,SI02,SI02 Mid-Island (CD 2 Approximation),106211614.111,58646.2767642,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ybt2-a6gu~s7c9,40.6068672784166,-74.19910714406916
36085032300,323,032300,5032300,5,Staten Island,Mariner's Harbor-Arlington-Graniteville,SI0107,I,SI01,SI01 North Shore (CD 1 Equivalent),41624394.4201,38242.0055855,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-jjh2_92be.9rhv,40.64167489884746,-74.17941021422413
