geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname_x,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon,Year,ntaname_y,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank
36061004100,41.0,4100,1004100,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),2058611.73916,5913.87051174,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-fw58~mtq4-kpic,40.719445684030525,-73.99617437428047,2024.0,SoHo-Little Italy-Hudson Square,"485,670.085448653",15.79%,3.45%,0.13,5.41215467017,105.0
36061004100,41.0,4100,1004100,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),2058611.73916,5913.87051174,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-fw58~mtq4-kpic,40.719445684030525,-73.99617437428047,2023.0,SoHo-Little Italy-Hudson Square,"332,364.0939",10.35%,2.53%,0.14,5.38707099723,93.0
36061004300,43.0,4300,1004300,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1605585.00792,5090.41972568,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-4by5_znye-jny9,40.72326668230479,-73.99480871997436,2025.0,SoHo-Little Italy-Hudson Square,"436,692.290999102",14.18%,370.48%,0.4,5.92605839953,118.0
36061004300,43.0,4300,1004300,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1605585.00792,5090.41972568,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-4by5_znye-jny9,40.72326668230479,-73.99480871997436,2024.0,SoHo-Little Italy-Hudson Square,"485,670.085448653",15.79%,3.45%,0.13,5.41215467017,105.0
36061004300,43.0,4300,1004300,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1605585.00792,5090.41972568,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-4by5_znye-jny9,40.72326668230479,-73.99480871997436,2023.0,SoHo-Little Italy-Hudson Square,"332,364.0939",10.35%,2.53%,0.14,5.38707099723,93.0
36061005400,54.0,5400,1005400,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1809255.74584,5588.63726023,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-cebx.mvbv.tw8z,40.73900109246751,-73.99332912340637,2025.0,Midtown South-Flatiron-Union Square,"354,582.409155647",14.70%,600.83%,0.35,5.75952211194,130.0
36061005400,54.0,5400,1005400,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1809255.74584,5588.63726023,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-cebx.mvbv.tw8z,40.73900109246751,-73.99332912340637,2024.0,Midtown South-Flatiron-Union Square,"330,563.241654016",15.55%,5.07%,0.13,5.18662022325,121.0
36061005400,54.0,5400,1005400,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1809255.74584,5588.63726023,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-cebx.mvbv.tw8z,40.73900109246751,-73.99332912340637,2023.0,Midtown South-Flatiron-Union Square,"41,919.22102",8.19%,4.98%,0.13,4.92685980951,136.0
36061005501,55.01,5501,1005501,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1338496.69078,4650.76717844,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3xci-7yte~966i,40.72748586150174,-73.99696510464963,2025.0,Greenwich Village,"519,331.168772581",11.64%,574.42%,0.38,6.21272153495,87.0
36061005501,55.01,5501,1005501,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1338496.69078,4650.76717844,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3xci-7yte~966i,40.72748586150174,-73.99696510464963,2024.0,Greenwich Village,"545,591.271455395",11.98%,5.65%,0.11,5.24535499119,117.0
