nta2020,geoid,Year,ntaname,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count
QN0901,36081014000,2025-01-01,Kew Gardens,"346,123.541401487",13.84%,616.57%,0.5,5.83075857264,126.0,1
QN0902,36081002400,2025-01-01,Richmond Hill,"-2,328,995.19901469",14.32%,602.99%,0.57,2.33964411502,193.0,3
QN0903,36081010800,2025-01-01,South Richmond Hill,"-107,421.202173893",14.34%,653.80%,0.6,5.54014285561,147.0,1
QN0904,36081003200,2025-01-01,Ozone Park (North),"-500,408.053228031",16.15%,694.89%,0.55,4.7872121749,172.0,1
QN0905,36081000200,2025-01-01,Woodhaven,"-2,162.59609306999",14.20%,743.98%,0.56,5.64258011658,138.0,0
QN1001,36081009400,2025-01-01,South Ozone Park,"551,136.10054515",14.03%,969.60%,0.55,6.33243241887,73.0,4
QN1002,36081004002,2025-01-01,Ozone Park,"-6,307.32930436102",13.32%,595.16%,0.52,5.37700970925,152.0,1
QN1003,36081006202,2025-01-01,Howard Beach-Lindenwood,"778,373.528126481",12.96%,831.63%,0.54,6.56652083606,57.0,1
QN1101,36081109900,2025-01-01,Auburndale,"896,800.029996218",12.17%,569.18%,0.6,6.45403505636,64.0,0
QN1102,36081109300,2025-01-01,Bayside,"920,642.058503727",12.25%,512.52%,0.54,6.39872885381,69.0,0
QN1103,36081150702,2025-01-01,Douglaston-Little Neck,"493,759.051208256",10.68%,497.37%,0.54,5.93571103192,115.0,1
QN1104,36081129104,2025-01-01,Oakland Gardens-Hollis Hills,"573,885.310129969",10.57%,455.58%,0.56,5.99553465326,109.0,0
QN1201,36081020400,2025-01-01,Jamaica,"-2,931,908.86381",20.44%,1016.54%,0.63,2.10934996483,194.0,9
QN1202,36081019400,2025-01-01,South Jamaica,"-2,561,516.49399059",16.03%,1347.54%,0.55,2.93347275092,187.0,7
QN1203,36081018200,2025-01-01,Baisley Park,"-495,528.11682838",12.33%,905.33%,0.51,5.19353472917,159.0,6
QN1204,36081033401,2025-01-01,Springfield Gardens (North)-Rochdale Village,"-731,641.08231932",13.37%,838.09%,0.49,4.84827144364,169.0,3
QN1205,36081035200,2025-01-01,St. Albans,"-2,169,555.78538276",7.84%,442.70%,0.5,2.64210409404,190.0,10
QN1206,36081047802,2025-01-01,Hollis,"-701,490.969869714",13.64%,914.77%,0.53,5.0551067521,165.0,6
QN1301,36081155101,2025-01-01,Glen Oaks-Floral Park-New Hyde Park,"552,168.537574376",11.70%,387.24%,0.62,5.89707362936,122.0,0
QN1302,36081161700,2025-01-01,Bellerose,"680,690.180248387",12.66%,708.89%,0.57,6.34967568957,70.0,1
QN1303,36081049202,2025-01-01,Queens Village,"-1,364,241.41008293",12.02%,941.09%,0.54,4.06198747578,182.0,6
QN1304,36081059000,2025-01-01,Cambria Heights,"-795,601.595177419",6.72%,546.28%,0.54,4.4364655044,179.0,1
QN1305,36081032800,2025-01-01,Laurelton,"-1,208,880.82001737",5.81%,476.25%,0.48,3.81922687671,183.0,5
QN1306,36081065402,2025-01-01,Springfield Gardens (South)-Brookville,"-151,097.67421373",9.59%,705.27%,0.46,5.58444543981,142.0,0
QN1307,36081065401,2025-01-01,Rosedale,"78,887.370869814",9.24%,716.03%,0.48,5.65402150705,137.0,2
QN1401,36081099801,2025-01-01,Far Rockaway-Bayswater,"486,153.45877199",19.74%,993.35%,0.58,6.11615671693,93.0,6
QN1402,36081097204,2025-01-01,Rockaway Beach-Arverne-Edgemere,"349,017.48683823",21.03%,925.48%,0.54,6.0303443872,103.0,2
QN1403,36081092800,2025-01-01,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"728,457.249977604",13.64%,691.39%,0.51,6.61739123024,55.0,0
SI0101,36085000300,2025-01-01,St. George-New Brighton,"146,216.825929215",20.18%,846.60%,0.49,5.99819322539,108.0,2
SI0102,36085001700,2025-01-01,Tompkinsville-Stapleton-Clifton-Fox Hills,"-1,823,011.16477151",19.32%,509.83%,0.51,3.17661075829,186.0,8
SI0103,36085000600,2025-01-01,Rosebank-Shore Acres-Park Hill,"183,229.031435855",14.15%,537.35%,0.5,5.55022041654,144.0,0
SI0104,36085009701,2025-01-01,West New Brighton-Silver Lake-Grymes Hill,"16,143.362143039",12.64%,507.67%,0.48,5.44630899646,150.0,1
SI0105,36085016901,2025-01-01,Westerleigh-Castleton Corners,"637,569.289046739",10.31%,483.81%,0.47,6.06970911336,98.0,0
SI0106,36085020702,2025-01-01,Port Richmond,"-720,808.945556749",17.95%,875.56%,0.52,4.94579796204,168.0,3
SI0107,36085022300,2025-01-01,Mariner's Harbor-Arlington-Graniteville,"785,018.737638609",14.80%,834.69%,0.48,6.74812670227,48.0,1
SI0201,36085005000,2025-01-01,Grasmere-Arrochar-South Beach-Dongan Hills,"782,796.386832488",13.42%,572.99%,0.48,6.23862767965,82.0,2
SI0202,36085011201,2025-01-01,New Dorp-Midland Beach,"739,392.566019714",12.13%,620.72%,0.54,6.32479629932,76.0,1
SI0203,36085017300,2025-01-01,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,"451,452.129284963",12.58%,518.93%,0.56,5.80431979609,128.0,1
SI0204,36085027301,2025-01-01,New Springville-Willowbrook-Bulls Head-Travis,"1,022,020.12315557",12.01%,456.02%,0.48,6.41326306292,65.0,0
SI0301,36085012805,2025-01-01,Oakwood-Richmondtown,"529,757.683825265",12.84%,700.09%,0.51,6.20365428506,89.0,0
SI0302,36085014608,2025-01-01,Great Kills-Eltingville,"1,091,230.79111141",10.42%,533.10%,0.45,6.5179510219,62.0,1
SI0303,36085017007,2025-01-01,Arden Heights-Rossville,"600,174.677844235",8.97%,476.47%,0.46,6.04297510641,100.0,0
SI0304,36085017009,2025-01-01,Annadale-Huguenot-Prince's Bay-Woodrow,"620,825.608054139",8.74%,350.04%,0.47,5.87696908779,123.0,2
SI0305,36085024401,2025-01-01,Tottenville-Charleston,"259,814.070271157",8.28%,158.11%,0.45,5.54171155493,145.0,0
