nta2020,ntaname,geoid,geometry,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count,TotalPop,Food Insecure Population
BX1101,Pelham Parkway-Van Nest,36005022404,POINT (1021608.9846556678 248217.96011518632),1090394.88704868,20.67,1014.34%,0.52,7.04081411301,36.0,1,31415.0,6493.480500000001
BX1102,Morris Park,36005024400,POINT (1025280.6014068318 249643.19252612785),483336.881360278,16.86,731.13%,0.52,6.09602750365,95.0,0,23704.0,3996.4944
BX1103,Pelham Gardens,36005031200,POINT (1026654.5810417819 254183.08589986985),349977.074157966,13.68,707.02%,0.53,6.12151529149,91.0,2,31442.0,4301.2656
BX1104,Allerton,36005032400,POINT (1021811.0397884706 254090.51228928793),1583720.86586766,23.54,1068.36%,0.58,7.83632189283,12.0,0,27953.0,6580.1362
BX1201,Williamsbridge-Olinville,36005033602,POINT (1022763.551895637 260286.45728848377),401560.88541765,20.26,960.85%,0.56,6.02041669769,106.0,5,53947.0,10929.6622
BX1202,Eastchester-Edenwald-Baychester,36005038600,POINT (1029442.62745787 260489.34125400754),-113911.46111921,16.96,983.48%,0.55,5.54066298083,146.0,5,37852.0,6419.6992
BX1203,Wakefield-Woodlawn,36005042000,POINT (1024622.0551441346 266467.5817457521),707055.00738691,16.59,909.85%,0.54,6.55528445854,59.0,1,46930.0,7785.687
MN0101,Financial District-Battery Park City,36061001502,POINT (981415.4318574915 197249.27829649512),497711.076648413,11.08,350.45%,0.34,5.62931347775,140.0,0,44436.0,4923.5088
MN0102,Tribeca-Civic Center,36061002100,POINT (982244.9579146124 200610.5988255175),341239.983171704,9.67,265.50%,0.4,5.81368748784,127.0,0,19629.0,1898.1243
MN0201,SoHo-Little Italy-Hudson Square,36061004100,POINT (983773.6217014334 202880.1281520987),436692.290999102,14.18,370.48%,0.4,5.92605839953,118.0,0,22583.0,3202.2694
MN0202,Greenwich Village,36061005501,POINT (985446.0674452787 205483.2843761342),519331.168772581,11.64,574.42%,0.38,6.21272153495,87.0,1,33154.0,3859.1256000000003
MN0203,West Village,36061006700,POINT (982616.9113430674 206987.5513809185),605981.189659805,13.57,741.45%,0.37,6.22559569875,85.0,3,33465.0,4541.200500000001
MN0301,Chinatown-Two Bridges,36061001600,POINT (986006.6777130242 198990.10672632256),1799039.12939831,26.2,1084.16%,0.6,7.9962386562,8.0,0,38840.0,10176.08
MN0302,Lower East Side,36061001401,POINT (988730.5396729169 200483.41413156493),740167.495815,20.96,647.31%,0.47,6.19497157586,90.0,5,47830.0,10025.168
MN0303,East Village,36061002602,POINT (989213.9721030638 203763.8936385571),1537743.68842889,20.68,555.20%,0.36,6.8545335246,41.0,5,62303.0,12884.2604
MN0401,Chelsea-Hudson Yards,36061008100,POINT (983931.5766119758 212296.9738916549),723779.41204991,15.79,560.22%,0.38,5.87294023284,124.0,3,58445.0,9228.465499999998
MN0402,Hell's Kitchen,36061012101,POINT (986355.3281333765 217684.131016107),1230494.1809353,17.02,537.01%,0.41,6.53051108458,60.0,4,23119.0,3934.8538
MN0501,Midtown South-Flatiron-Union Square,36061005400,POINT (987089.8224227277 210351.21751825526),354582.409155647,14.7,600.83%,0.35,5.75952211194,130.0,3,24698.0,3630.6059999999998
MN0502,Midtown-Times Square,36061008200,POINT (989344.9095436943 215364.60651774745),144714.999478159,15.79,516.70%,0.48,5.46252733014,149.0,0,20933.0,3305.3206999999998
MN0601,Stuyvesant Town-Peter Cooper Village,36061006000,POINT (990740.2859603707 205897.0318462349),490267.23296912,14.67,420.81%,0.47,6.04240323304,101.0,0,21263.0,3119.2821
MN0602,Gramercy,36061006800,POINT (988669.1843174913 207722.03327835133),507842.027125365,12.41,303.30%,0.35,5.9568313992,112.0,0,27748.0,3443.5268
MN0603,Murray Hill-Kips Bay,36061007001,POINT (990914.7780852598 210427.6582730125),1043268.45251766,12.13,320.32%,0.4,6.23798572293,83.0,0,46093.0,5591.0809
MN0604,East Midtown-Turtle Bay,36061009200,POINT (992976.024805569 214758.03415863795),1000801.33361314,12.74,592.32%,0.51,6.52060697162,61.0,3,31057.0,3956.6618000000003
MN0701,Upper West Side-Lincoln Square,36061014900,POINT (988489.1472106186 221575.04279241912),1606997.59775469,14.05,613.09%,0.5,7.11106616983,32.0,1,32931.0,4626.8055
MN0702,Upper West Side (Central),36061016100,POINT (990914.1920101298 226259.28937695993),1012558.71411999,12.67,390.22%,0.51,5.95647683778,113.0,4,98669.0,12501.3623
MN0703,Upper West Side-Manhattan Valley,36061018700,POINT (993301.8713133023 230465.78446732712),1413774.98920573,17.95,749.39%,0.5,7.20725444368,26.0,2,52789.0,9475.6255
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,36061011800,POINT (996691.3748214843 217977.8158554717),1488620.7768,13.22,409.58%,0.53,6.73965047747,49.0,1,48780.0,6448.716
MN0802,Upper East Side-Carnegie Hill,36061011402,POINT (995003.3419695067 221533.95888700662),-267239.2548257,9.99,454.49%,0.57,4.77142011998,173.0,3,58161.0,5810.2839
MN0803,Upper East Side-Yorkville,36061013601,POINT (998462.4883081435 222480.9056590607),1066124.73854754,13.12,476.41%,0.46,6.20816130946,88.0,2,51258.0,6725.049599999999
MN0901,Morningside Heights,36061019900,POINT (994834.5730330172 234186.9028793851),183281.64306546,20.97,937.58%,0.47,5.9304253106,116.0,5,38346.0,8041.1562
MN0902,Manhattanville-West Harlem,36061021303,POINT (997031.5271029755 237308.21702264473),829256.969797046,26.32,1299.85%,0.46,7.23102977905,25.0,3,23895.0,6289.164
MN0903,Hamilton Heights-Sugar Hill,36061023100,POINT (998512.416657494 240587.06784461212),1282814.27284754,21.91,990.22%,0.49,7.18438251253,28.0,4,51981.0,11389.0371
MN1001,Harlem (South),36061018600,POINT (997732.3206067757 232320.53180428472),-605451.42757938,17.86,805.31%,0.41,4.70584743652,176.0,5,48993.0,8750.1498
MN1002,Harlem (North),36061020800,POINT (1000605.7974914439 237639.79462203235),1832379.14443154,24.06,1238.09%,0.47,7.57499910728,15.0,11,79949.0,19235.7294
MN1101,East Harlem (South),36061015802,POINT (999272.0612822673 227103.44313379706),1724240.69463585,25.33,981.20%,0.48,7.48968101927,17.0,3,58604.0,14844.393199999999
MN1102,East Harlem (North),36061018000,POINT (1001570.8687801851 231332.11235529088),527499.52610583,26.68,1055.74%,0.47,5.90883983576,121.0,8,64326.0,17162.176799999997
MN1201,Washington Heights (South),36061024301,POINT (1000426.6526878236 245646.3192125015),2673103.36007119,26.78,1417.65%,0.52,8.91946054013,1.0,3,83611.0,22391.025800000003
MN1202,Washington Heights (North),36061026500,POINT (1002659.2219425726 251320.67682370363),1478920.68303928,20.15,1196.63%,0.51,7.47395389484,18.0,2,80850.0,16291.275
MN1203,Inwood,36061029300,POINT (1006564.0643680623 254812.03746298538),-272014.49954441,20.37,826.18%,0.52,5.23350410541,158.0,4,42628.0,8683.323600000002
QN0101,Astoria (North)-Ditmars-Steinway,36081009500,POINT (1010490.0111682082 222521.86965730262),1638480.01862568,15.95,744.76%,0.42,7.3454974684,22.0,0,48680.0,7764.46
QN0102,Old Astoria-Hallets Point,36081007700,POINT (1003245.6042267713 220576.72585234465),285730.857931088,19.98,757.32%,0.49,5.94774867203,114.0,1,17581.0,3512.6838000000002
QN0103,Astoria (Central),36081005300,POINT (1005564.2233601243 217735.3235216695),1399350.54925385,16.07,647.96%,0.4,6.96580579427,38.0,0,48505.0,7794.753500000001
QN0104,Astoria (East)-Woodside (North),36081014300,POINT (1009096.3858383516 216016.88298672703),1005084.90302748,17.0,805.49%,0.5,6.70947426815,52.0,2,38773.0,6591.410000000001
QN0105,Queensbridge-Ravenswood-Dutch Kills,36081003100,POINT (1001445.1084780198 215558.6628903599),-3272725.07376078,21.01,847.32%,0.51,1.78837351738,197.0,4,23333.0,4902.2633000000005
QN0201,Long Island City-Hunters Point,36081000702,POINT (998406.998555547 210842.613709816),-16549.040149168,12.92,469.89%,0.47,5.44447032158,151.0,0,0.0,0.0
QN0202,Sunnyside,36081016900,POINT (1004633.6733080196 208310.60830963549),-105498.50887842,15.91,644.19%,0.58,5.343861523,154.0,3,41559.0,6612.0369
QN0203,Woodside,36081025100,POINT (1011569.4946332934 210024.90515846273),-363136.00671281,13.52,457.26%,0.71,4.726180592,175.0,2,48052.0,6496.630399999999
QN0301,Jackson Heights,36081027302,POINT (1015738.3446862802 214552.91238915868),2551351.0225222,17.64,885.63%,0.65,8.37089634861,4.0,3,74741.0,13184.3124
QN0302,East Elmhurst,36081035300,POINT (1019651.6675023506 217675.72860010105),-23285.418190612,14.51,596.99%,0.61,5.55546272087,143.0,4,29936.0,4343.7136
QN0303,North Corona,36081037700,POINT (1022247.7010251159 214028.1423955193),563174.7457449,16.79,436.78%,0.81,6.1044994324,94.0,5,18802.0,3156.8558
QN0401,Elmhurst,36081026700,POINT (1017750.285419723 208682.84855125035),2027995.53292438,15.7,540.26%,0.71,7.5117819559,16.0,5,79092.0,12417.444
QN0402,Corona,36081040101,POINT (1023242.4805698378 210090.6135862441),2024764.96870776,19.83,700.81%,0.75,7.90299060397,11.0,0,53440.0,10597.151999999998
QN0501,Maspeth,36081049301,POINT (1010548.7593895524 202721.69747696375),1065960.91762597,14.8,667.53%,0.56,6.66557289568,53.0,0,32313.0,4782.3240000000005
QN0502,Ridgewood,36081053902,POINT (1010953.0273740981 196386.82900920388),1531860.2259482,16.81,708.66%,0.51,7.05062426682,35.0,4,63543.0,10681.5783
QN0503,Glendale,36081056500,POINT (1018701.4033796624 195618.61344176327),433586.15995669,12.85,508.05%,0.52,5.75529526452,131.0,1,32982.0,4238.187
QN0504,Middle Village,36081065702,POINT (1018033.2793457673 201331.93724102215),-261754.513595689,12.3,424.94%,0.55,4.80325939682,171.0,1,29268.0,3599.9640000000004
QN0601,Rego Park,36081069300,POINT (1022106.2019180043 203893.45109368404),787641.811453798,15.73,584.01%,0.6,6.2957188288,78.0,0,28321.0,4454.8933
QN0602,Forest Hills,36081070700,POINT (1026472.5316195491 202158.39697501514),1029708.81093998,13.17,432.55%,0.55,6.08351365384,96.0,3,86168.0,11348.3256
QN0701,College Point,36081092500,POINT (1028590.561708414 224439.49219787316),919370.186085302,14.83,943.97%,0.66,6.86671945513,40.0,0,29870.0,4429.721
QN0702,Whitestone-Beechhurst,36081103300,POINT (1036617.1839418474 226561.17914049415),808755.543930184,13.26,871.11%,0.55,6.66190737136,54.0,0,27750.0,3679.65
QN0703,Bay Terrace-Clearview,36081099704,POINT (1043077.9000950907 224201.2717190099),617762.51874879,12.42,531.71%,0.57,6.11844453105,92.0,0,22455.0,2788.911
QN0704,Murray Hill-Broadway Flushing,36081088903,POINT (1036665.9470436391 219453.8385998819),1582986.12822155,15.71,521.41%,0.67,7.11643627565,31.0,2,42753.0,6716.496300000001
QN0705,East Flushing,36081084500,POINT (1037426.7637969491 213965.80659854578),442076.275743512,17.44,709.29%,0.71,5.98743248767,110.0,1,28337.0,4941.9728
QN0706,Queensboro Hill,36081079900,POINT (1034215.9509894267 210059.8545635795),517136.566352814,14.79,540.08%,0.75,6.02044782221,105.0,0,21755.0,3217.5645
QN0707,Flushing-Willets Point,36081079701,POINT (1030906.456544456 216287.61666089518),1500292.96137764,20.93,775.10%,0.77,7.13226432034,29.0,1,47596.0,9961.842799999999
QN0801,Kew Gardens Hills,36081077902,POINT (1034198.0780097147 204064.14076828948),-175960.45099861,13.9,616.41%,0.53,5.06749655273,164.0,3,35969.0,4999.691000000001
QN0802,Pomonok-Electchester-Hillcrest,36081122703,POINT (1038735.3342929162 204227.80073709748),414221.843428991,16.0,752.94%,0.52,5.9201536232,119.0,0,23028.0,3684.48
QN0803,Fresh Meadows-Utopia,36081122300,POINT (1043489.1601012911 207102.14201401587),515718.061356106,12.04,432.36%,0.57,5.90963328494,120.0,0,12052.0,1451.0608
QN0804,Jamaica Estates-Holliswood,36081046400,POINT (1045895.1082705692 201936.94773789262),481473.217384359,13.52,778.43%,0.58,6.40404761045,67.0,2,16367.0,2212.8183999999997
QN0805,Jamaica Hills-Briarwood,36081021400,POINT (1037241.2210042471 198693.82383727585),294414.83129535,16.87,980.54%,0.57,6.21729449573,86.0,0,38060.0,6420.722000000001
QN0901,Kew Gardens,36081014000,POINT (1031726.9839845444 197278.6104485329),346123.541401487,13.84,616.57%,0.5,5.83075857264,126.0,1,19519.0,2701.4296
QN0902,Richmond Hill,36081002400,POINT (1030621.9408509404 193430.33142447245),-2328995.19901469,14.32,602.99%,0.57,2.33964411502,193.0,3,35313.0,5056.8216
QN0903,South Richmond Hill,36081010800,POINT (1032817.2260475475 191194.67650587586),-107421.202173893,14.34,653.80%,0.6,5.54014285561,147.0,1,25880.0,3711.192
QN0904,Ozone Park (North),36081003200,POINT (1026027.1234859129 188717.158198095),-500408.053228031,16.15,694.89%,0.55,4.7872121749,172.0,1,25549.0,4126.1635
